source,target,weight,likes_totales,tipo_arista
UCplrIQtaPj6au60_f2-mOYw,n8iP75gIpmw,1,0,autor_comento_video
UCpsKOkt5iWTbenzeuq7dsmQ,j43HgwYFKfk,1,2,autor_comento_video
UCpsKOkt5iWTbenzeuq7dsmQ,n8iP75gIpmw,1,1,autor_comento_video
UCpsKOkt5iWTbenzeuq7dsmQ,ndAZjHqzzT8,1,1,autor_comento_video
UCq3mDTTRZnUybct5M9OSXbg,06mFNPU0aB8,1,1,autor_comento_video
UCqCrvuoJpC-aVb0f4logQRQ,j43HgwYFKfk,1,0,autor_comento_video
UCqilIa8r7iek5sGYg_q6ofA,lj983NWyAQY,1,52,autor_comento_video
UCql1n3Ey6ULMSOACjMe-fxQ,6W4u8sGEnGM,1,6,autor_comento_video
UCr1emrogPKkKTs_WTtx71xg,n8iP75gIpmw,1,0,autor_comento_video
UCrJn_rbo_ENAdeqneS-RmRw,n8iP75gIpmw,2,1,autor_comento_video
UCrqXyRsg-_hTosURZ-uvoKg,OkXlHx0hx-8,1,0,autor_comento_video
UCsGoJEvb-cFPZ2rWoJcXzEQ,j43HgwYFKfk,1,10,autor_comento_video
UCsJJAvrVGupdmhOqgtDp8dg,n8iP75gIpmw,1,1,autor_comento_video
